PRODUCTION NAMING REPORT

sources/TextAR-Light.ufo

---------------------------------------------------
Production names set:

    CODEPOINT : WORKING NAME                    → PROD NAME
        64415 : noonghunna-ar.fina              → uniFB9F
        64423 : hehgoal-ar.fina                 → uniFBA7
        64424 : hehgoal-ar.init                 → uniFBA8
        64425 : hehgoal-ar.medi                 → uniFBA9
        64427 : hehDoachashmee-ar.fina          → uniFBAB
        64428 : hehDoachashmee-ar.init          → uniFBAC
        64429 : hehDoachashmee-ar.medi          → uniFBAD
        64431 : yehbarree-ar.fina               → uniFBAF
        64433 : yehbarreeHamzaabove-ar.fina     → uniFBB1
        64434 : dotabove-ar                     → uniFBB2
        64435 : dotbelow-ar                     → uniFBB3
        64436 : twodotshorizontalabove-ar       → uniFBB4
        64437 : twodotshorizontalbelow-ar       → uniFBB5
        64438 : threedotsupabove-ar             → uniFBB6
        64509 : yeh-farsi.fina                  → uniFBFD
        64510 : yeh-farsi.init                  → uniFBFE
        64511 : yeh-farsi.medi                  → uniFBFF
        64830 : parenleft-ar                    → uniFD3E
        64831 : parenright-ar                   → uniFD3F
        65154 : alefMadda-ar.fina               → uniFE82
        65156 : alefHamzaabove-ar.fina          → uniFE84
        65158 : wawHamzaabove-ar.fina           → uniFE86
        65160 : alefHamzabelow-ar.fina          → uniFE88
        65162 : yehHamzaabove-ar.fina           → uniFE8A
        65163 : yehHamzaabove-ar.init           → uniFE8B
        65164 : yehHamzaabove-ar.medi           → uniFE8C
        65166 : alef-ar.fina                    → uniFE8E
        65168 : beh-ar.fina                     → uniFE90
        65169 : beh-ar.init                     → uniFE91
        65170 : beh-ar.medi                     → uniFE92
        65172 : tehMarbuta-ar.fina              → uniFE94
        65174 : teh-ar.fina                     → uniFE96
        65175 : teh-ar.init                     → uniFE97
        65176 : teh-ar.medi                     → uniFE98
        65178 : theh-ar.fina                    → uniFE9A
        65179 : theh-ar.init                    → uniFE9B
        65180 : theh-ar.medi                    → uniFE9C
        65182 : jeem-ar.fina                    → uniFE9E
        65183 : jeem-ar.init                    → uniFE9F
        65184 : jeem-ar.medi                    → uniFEA0
        65186 : hah-ar.fina                     → uniFEA2
        65187 : hah-ar.init                     → uniFEA3
        65188 : hah-ar.medi                     → uniFEA4
        65190 : khah-ar.fina                    → uniFEA6
        65191 : khah-ar.init                    → uniFEA7
        65192 : khah-ar.medi                    → uniFEA8
        65194 : dal-ar.fina                     → uniFEAA
        65196 : thal-ar.fina                    → uniFEAC
        65198 : reh-ar.fina                     → uniFEAE
        65200 : zain-ar.fina                    → uniFEB0
        65202 : seen-ar.fina                    → uniFEB2
        65203 : seen-ar.init                    → uniFEB3
        65204 : seen-ar.medi                    → uniFEB4
        65206 : sheen-ar.fina                   → uniFEB6
        65207 : sheen-ar.init                   → uniFEB7
        65208 : sheen-ar.medi                   → uniFEB8
        65210 : sad-ar.fina                     → uniFEBA
        65211 : sad-ar.init                     → uniFEBB
        65212 : sad-ar.medi                     → uniFEBC
        65214 : dad-ar.fina                     → uniFEBE
        65215 : dad-ar.init                     → uniFEBF
        65216 : dad-ar.medi                     → uniFEC0
        65218 : tah-ar.fina                     → uniFEC2
        65219 : tah-ar.init                     → uniFEC3
        65220 : tah-ar.medi                     → uniFEC4
        65222 : zah-ar.fina                     → uniFEC6
        65223 : zah-ar.init                     → uniFEC7
        65224 : zah-ar.medi                     → uniFEC8
        65226 : ain-ar.fina                     → uniFECA
        65227 : ain-ar.init                     → uniFECB
        65228 : ain-ar.medi                     → uniFECC
        65230 : ghain-ar.fina                   → uniFECE
        65231 : ghain-ar.init                   → uniFECF
        65232 : ghain-ar.medi                   → uniFED0
        65234 : feh-ar.fina                     → uniFED2
        65235 : feh-ar.init                     → uniFED3
        65236 : feh-ar.medi                     → uniFED4
        65238 : qaf-ar.fina                     → uniFED6
        65239 : qaf-ar.init                     → uniFED7
        65240 : qaf-ar.medi                     → uniFED8
        65242 : kaf-ar.fina                     → uniFEDA
        65243 : kaf-ar.init                     → uniFEDB
        65244 : kaf-ar.medi                     → uniFEDC
        65246 : lam-ar.fina                     → uniFEDE
        65247 : lam-ar.init                     → uniFEDF
        65248 : lam-ar.medi                     → uniFEE0
        65250 : meem-ar.fina                    → uniFEE2
        65251 : meem-ar.init                    → uniFEE3
        65252 : meem-ar.medi                    → uniFEE4
        65254 : noon-ar.fina                    → uniFEE6
        65255 : noon-ar.init                    → uniFEE7
        65256 : noon-ar.medi                    → uniFEE8
        65258 : heh-ar.fina                     → uniFEEA
        65259 : heh-ar.init                     → uniFEEB
        65260 : heh-ar.medi                     → uniFEEC
        65262 : waw-ar.fina                     → uniFEEE
        65264 : alefMaksura-ar.fina             → uniFEF0
        65266 : yeh-ar.fina                     → uniFEF2
        65267 : yeh-ar.init                     → uniFEF3
        65268 : yeh-ar.medi                     → uniFEF4
        65269 : lam_alefMadda-ar                → uniFEF5
        65270 : lam_alefMadda-ar.fina           → uniFEF6
        65271 : lam_alefHamzaabove-ar           → uniFEF7
        65272 : lam_alefHamzaabove-ar.fina      → uniFEF8
        65273 : lam_alefHamzabelow-ar           → uniFEF9
        65274 : lam_alefHamzabelow-ar.fina      → uniFEFA
        65275 : lam_alef-ar                     → uniFEFB
        65276 : lam_alef-ar.fina                → uniFEFC

---------------------------------------------------
Glyphs with already-correct naming:
    A AE Aacute Acircumflex Adieresis Agrave Aring Atilde B C Ccedilla D E Eacute Ecircumflex Edieresis Egrave Eth Euro F G H I Iacute Icircumflex Idieresis Igrave J K L M N Ntilde O OE Oacute Ocircumflex Odieresis Ograve Oslash Otilde P Q R S Scaron T Thorn U Uacute Ucircumflex Udieresis Ugrave V W X Y Yacute Ydieresis Z Zcaron a aacute acircumflex acute adieresis ae agrave ampersand approxequal aring asciicircum asciitilde asterisk at atilde b backslash bar braceleft braceright bracketleft bracketright bullet c caron ccedilla cent circumflex colon comma copyright d dagger daggerdbl degree dieresis divide dollar dong dotlessi e eacute ecircumflex edieresis egrave eight ellipsis emdash endash equal eth exclam exclamdown f figuredash five four fraction g germandbls grave greater greaterequal guilsinglleft guilsinglright h hyphen i iacute icircumflex idieresis igrave j k l less lessequal m minus mu multiply n nine notequal ntilde numbersign o oacute ocircumflex odieresis oe ograve one onehalf onequarter ordfeminine ordmasculine oslash otilde p paragraph parenleft parenright percent period periodcentered plus plusminus q question questiondown quotedbl quotedblbase quotedblleft quotedblright quoteleft quoteright quotesinglbase quotesingle r registered s scaron section semicolon seven six slash space sterling t thorn three threequarters tilde trademark two u uacute ucircumflex udieresis ugrave underscore v w x y yacute ydieresis yen z zcaron zero

---------------------------------------------------
Glyphs with no Unicode value:
    .notdef Euro.tab acutecmb.cap alef-ar.fina.short alef-ar.short behDotless-ar.fina behDotless-ar.init behDotless-ar.init_wide behDotless-ar.medi behDotless-ar.medi_wide caroncmb.cap circumflexcmb.cap colon.fig colon.figtab colon.tab comma.tab dieresiscmb.cap dollar.tab dotcenter-ar eight-ar.tab eight-persian.tab eight.tab fehDotless-ar.fina fehDotless-ar.init fehDotless-ar.medi five-ar.tab five-persian.tab five.tab four-ar.tab four-persian.tab four.tab gafsarkashabove-ar gravecmb.cap hamzaaboveDamma-ar hamzaaboveDammatan-ar hamzaaboveFatha-ar hamzaaboveFathatan-ar hamzaaboveSukun-ar hamzabelowKasra-ar hamzabelowKasratan-ar hehgoalHamzaabove-ar.fina lam_alefWasla-ar lam_alefWasla-ar.fina middotcat middotcat.cap nine-ar.tab nine-persian.tab nine.tab one-ar.tab one-persian.tab one.tab peh-ar.init.wide peh-ar.medi.wide period.tab periodcentered.tab qafDotless-ar.fina quotedbl.tab quotesingle.tab seven-ar.tab seven-persian.tab seven.tab shaddaDamma-ar shaddaDammatan-ar shaddaFatha-ar shaddaFathatan-ar shaddaKasra-ar shaddaKasratan-ar six-ar.tab six-persian.tab six.tab slash.tab space.tab sterling.tab teh-ar.init.wide teh-ar.medi.wide tehMarbutagoal-ar.fina theh-ar.init.wide theh-ar.medi.wide three-ar.tab three-persian.tab three.tab threedotsdownbelow-ar tildecmb.cap tteh-ar.init.wide tteh-ar.medi.wide two-ar.tab two-persian.tab two.tab wasla-ar yeh-ar.init.wide yeh-ar.medi.wide yehHamzaabove-ar.init.wide yehHamzaabove-ar.medi.wide yen.tab zero-ar.tab zero-persian.tab zero.tab
